2025-07-01 13:28:38.613 |  INFO |                      main | i.a.a.e.c.i.MessagingClusterServer       | Axon Server Cluster Server started on port: 8224 - no SSL
2025-07-01 13:28:38.613 |  INFO |                      main | i.a.a.e.c.i.MessagingClusterServer       | Axon Server Cluster Server started on port: 8224 - no SSL
2025-07-01 13:28:38.842 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | default: init replication group
2025-07-01 13:28:38.842 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | default: init replication group
2025-07-01 13:28:38.878 |  INFO |                      main | i.a.a.c.r.file.PrimaryLogEntryStore      | default: Initializing log
2025-07-01 13:28:38.878 |  INFO |                      main | i.a.a.c.r.file.PrimaryLogEntryStore      | default: Initializing log
2025-07-01 13:28:39.034 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Updating state from null to IdleState (Node initialized.)
2025-07-01 13:28:39.034 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Updating state from null to IdleState (Node initialized.)
2025-07-01 13:28:39.042 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | _admin: init replication group
2025-07-01 13:28:39.042 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | _admin: init replication group
2025-07-01 13:28:39.049 |  INFO |                      main | i.a.a.c.r.file.PrimaryLogEntryStore      | _admin: Initializing log
2025-07-01 13:28:39.049 |  INFO |                      main | i.a.a.c.r.file.PrimaryLogEntryStore      | _admin: Initializing log
2025-07-01 13:28:39.056 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Updating state from null to IdleState (Node initialized.)
2025-07-01 13:28:39.056 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Updating state from null to IdleState (Node initialized.)
2025-07-01 13:28:39.059 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | default: Replication group starting
2025-07-01 13:28:39.059 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | default: Replication group starting
2025-07-01 13:28:39.064 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | _admin: Replication group starting
2025-07-01 13:28:39.064 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | _admin: Replication group starting
2025-07-01 13:28:39.065 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Starting the node...
2025-07-01 13:28:39.065 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Starting the node...
2025-07-01 13:28:39.077 |  INFO |           task-scheduler1 | i.a.a.e.replication.GrpcRaftGroup        | default: starting event store default
2025-07-01 13:28:39.077 |  INFO |           task-scheduler1 | i.a.a.e.replication.GrpcRaftGroup        | default: starting event store default
2025-07-01 13:28:39.079 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Updating state from IdleState to FollowerState (Role PRIMARY)
2025-07-01 13:28:39.079 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Updating state from IdleState to FollowerState (Role PRIMARY)
2025-07-01 13:28:39.091 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | The replication log compaction for "_admin" is scheduled each 1 hour(s).
2025-07-01 13:28:39.091 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | The replication log compaction for "_admin" is scheduled each 1 hour(s).
2025-07-01 13:28:39.094 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Node started.
2025-07-01 13:28:39.094 |  INFO |                      main | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 7: Node started.
2025-07-01 13:28:39.095 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | _admin: Replication group started
2025-07-01 13:28:39.095 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | _admin: Replication group started
2025-07-01 13:28:39.096 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | Replication group controller running
2025-07-01 13:28:39.096 |  INFO |                      main | i.a.a.e.replication.GrpcRaftController   | Replication group controller running
2025-07-01 13:28:39.297 |  INFO |                      main | io.axoniq.axonserver.grpc.Gateway        | Axon Server Gateway started on port: 8124 - no SSL
2025-07-01 13:28:39.297 |  INFO |                      main | io.axoniq.axonserver.grpc.Gateway        | Axon Server Gateway started on port: 8124 - no SSL
2025-07-01 13:28:39.329 |  INFO |                      main | o.s.b.w.embedded.tomcat.TomcatWebServer  | Tomcat started on port(s): 8024 (http) with context path ''
2025-07-01 13:28:39.329 |  INFO |                      main | o.s.b.w.embedded.tomcat.TomcatWebServer  | Tomcat started on port(s): 8024 (http) with context path ''
2025-07-01 13:28:39.378 |  INFO |                      main | io.axoniq.axonserver.AxonServer          | Started AxonServer in 22.941 seconds (JVM running for 23.832)
2025-07-01 13:28:39.378 |  INFO |                      main | io.axoniq.axonserver.AxonServer          | Started AxonServer in 22.941 seconds (JVM running for 23.832)
2025-07-01 13:28:39.654 |  INFO |           task-scheduler1 | i.a.a.e.replication.GrpcRaftGroup        | default: Event store started default
2025-07-01 13:28:39.654 |  INFO |           task-scheduler1 | i.a.a.e.replication.GrpcRaftGroup        | default: Event store started default
2025-07-01 13:28:39.656 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Starting the node...
2025-07-01 13:28:39.656 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Starting the node...
2025-07-01 13:28:39.657 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Updating state from IdleState to FollowerState (Role PRIMARY)
2025-07-01 13:28:39.657 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Updating state from IdleState to FollowerState (Role PRIMARY)
2025-07-01 13:28:39.661 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | The replication log compaction for "default" is scheduled each 1 hour(s).
2025-07-01 13:28:39.661 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | The replication log compaction for "default" is scheduled each 1 hour(s).
2025-07-01 13:28:39.661 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Node started.
2025-07-01 13:28:39.661 |  INFO |           task-scheduler1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Node started.
2025-07-01 13:28:39.662 |  INFO |           task-scheduler1 | i.a.a.e.replication.GrpcRaftController   | default: Replication group started
2025-07-01 13:28:39.662 |  INFO |           task-scheduler1 | i.a.a.e.replication.GrpcRaftController   | default: Replication group started
2025-07-01 13:28:40.863 |  INFO |       default-raftState-1 | i.a.axonserver.cluster.FollowerState     | default in term 7: Timeout in follower state: 1203 ms.
2025-07-01 13:28:40.863 |  INFO |       default-raftState-1 | i.a.axonserver.cluster.FollowerState     | default in term 7: Timeout in follower state: 1203 ms.
2025-07-01 13:28:40.888 |  INFO |       default-raftState-1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Updating state from FollowerState to PreVoteState (default in term 7: Timeout in follower state: 1203 ms.)
2025-07-01 13:28:40.888 |  INFO |       default-raftState-1 | io.axoniq.axonserver.cluster.RaftNode    | default in term 7: Updating state from FollowerState to PreVoteState (default in term 7: Timeout in follower state: 1203 ms.)
2025-07-01 13:28:40.917 |  INFO |       default-raftState-1 | i.a.a.cluster.election.DefaultPreVote    | default: Starting pre-vote from MaiThanh-81b41738-3dbe-475d-9120-f2e379719a7a in term 7
2025-07-01 13:28:40.917 |  INFO |       default-raftState-1 | i.a.a.cluster.election.DefaultPreVote    | default: Starting pre-vote from MaiThanh-81b41738-3dbe-475d-9120-f2e379719a7a in term 7
